"행정구역","2023년06월_남_총인구수","2023년06월_남_연령구간인구수","2023년06월_남_0~9세","2023년06월_남_10~19세","2023년06월_남_20~29세","2023년06월_남_30~39세","2023년06월_남_40~49세","2023년06월_남_50~59세","2023년06월_남_60~69세","2023년06월_남_70~79세","2023년06월_남_80~89세","2023년06월_남_90~99세","2023년06월_남_100세 이상","2023년06월_여_총인구수","2023년06월_여_연령구간인구수","2023년06월_여_0~9세","2023년06월_여_10~19세","2023년06월_여_20~29세","2023년06월_여_30~39세","2023년06월_여_40~49세","2023년06월_여_50~59세","2023년06월_여_60~69세","2023년06월_여_70~79세","2023년06월_여_80~89세","2023년06월_여_90~99세","2023년06월_여_100세 이상"
"경상남도 의령군 봉수면(4872040000)","508","508","19","15","24","36","47","69","155","88","50","5","0","456","456","8","11","6","18","12","49","101","101","117","31","2"
"경상남도 의령군 궁류면(4872041500)","532","532","3","11","25","14","27","78","199","84","82","9","0","580","580","2","11","9","13","24","54","138","106","180","43","0"
"경상남도 의령군 유곡면(4872042000)","544","544","7","17","14","23","41","100","181","88","58","14","1","568","568","5","13","11","17","24","66","125","120","154","31","2"
"경상남도 함안군 (4873000000)","31,080","31,080","1,524","2,934","2,663","2,390","4,379","5,988","6,524","3,182","1,366","128","2","29,680","29,680","1,447","2,621","1,782","2,101","3,925","4,830","5,695","3,634","3,056","583","6"
"경상남도 함안군 가야읍(4873025000)","8,922","8,922","509","971","984","823","1,308","1,764","1,559","698","278","27","1","8,672","8,672","445","833","670","750","1,259","1,562","1,515","866","649","120","3"
"경상남도 함안군 칠원읍(4873025300)","9,377","9,377","688","1,348","810","727","1,739","1,749","1,448","651","199","17","1","9,099","9,099","685","1,294","596","750","1,795","1,481","1,300","691","416","91","0"
"경상남도 함안군 함안면(4873031000)","1,213","1,213","31","49","71","66","119","214","352","188","110","13","0","1,155","1,155","28","46","44","62","75","165","288","207","206","33","1"
"경상남도 함안군 군북면(4873032000)","3,059","3,059","110","140","254","288","332","545","760","409","204","17","0","2,758","2,758","111","111","116","196","191","343","662","447","481","99","1"
"경상남도 함안군 법수면(4873033000)","1,426","1,426","28","47","80","71","150","304","419","210","108","9","0","1,337","1,337","22","33","50","43","78","198","359","263","251","40","0"
"경상남도 함안군 대산면(4873034000)","1,645","1,645","17","75","91","81","137","310","490","290","141","13","0","1,615","1,615","21","49","54","48","98","214","382","354","333","62","0"
"경상남도 함안군 칠서면(4873035000)","2,666","2,666","95","218","203","184","356","585","604","283","123","15","0","2,410","2,410","99","177","148","144","267","446","473","331","274","51","0"
"경상남도 함안군 칠북면(4873036000)","966","966","10","26","44","44","81","191","298","170","95","7","0","882","882","10","19","31","27","47","113","242","185","183","25","0"
"경상남도 함안군 산인면(4873038000)","1,343","1,343","30","47","109","91","119","249","416","200","74","8","0","1,325","1,325","24","51","54","68","95","243","340","211","195","44","0"
